Butikk;Longitude;Latitude;Forvalt.visitorAddress.addressLine;Forvalt.visitorAddress.postPlace;Forvalt.visitorAddress.zipCode;Kjøpesenter
LOUIS VUITTON NORGE AS;10,74313602;59,91257417;Karl Johans gate 16C;Oslo;0154;
JENSEN MINIPRIS AS;11,2424635;60,40323378;Langsetvegen 36;Minnesund;2092;
SPORT 1 ALTA AS;23,27263058;69,96617217;Markesgate 21-25;Alta;9510;AMFI Alta
CHRISTOPHERSEN SANDNES AS;5,735059;58,85242545;Langgata 30;Sandnes;4306;
LINDEX AS AVD TØNSBERG;10,41176441;59,26928606;Jernbanegaten 1D;Tønsberg;3110;Farmandstredet
UFF-BUTIKKENE I NORGE AVD INNSAMLING / DISTRIBUSJON;11,11455843;60,03590124;Lindebergveien 1;Frogner;2016;
DOLLARSTORE AS AVD JÆRHAGEN;5,626291296;58,77931345;Solavegen 25;Kleppe;4351;
SAINT-GOBAIN DISTRIBUTION NORWAY AS BRYN;10,81581883;59,91107167;Brynsalléen 2;Oslo;0667;
FELLESKJØPET DRAMMEN 6068 BUTIKK OG KORNMOTTAK;10,22456554;59,73663618;Svend Haugs gate 5;Drammen;3013;
FELLESKJØPET LILLEHAMMER 5908 BUTIKK OG KORNMOTTAK;10,43321829;61,13389656;Industrigata 56;Lillehammer;2619;
JACK & JONES/VERO MODA KVADRAT SENT 1722;5,72177217;58,87626535;Gamle Stokkavei 1;Sandnes;4313;Kvadrat
FELLESKJØPET MODUM 6556 BUTIKK OG KORNMOTTAK;9,975922086;59,94789393;Nedre Nedmarken 8;Vikersund;3370;
SAGFJORDEN HANDEL AS;17,83444366;68,87527393;Strandveien 7;Sjøvegan;9350;
OPPDAL MAT AS;9,69284101;62,59494853;Nyvegen 33;Oppdal;7340;
FALKANGER SKO AS AVD CITY LADE;10,44651791;63,44368811;Haakon VII's gate 9;Trondheim;7041;
FELLESKJØPET BJØRKELANGEN 2090 BUTIKK OG KORNMOTTAK;11,5714672;59,88676134;Siloveien 2;Bjørkelangen;1940;
COOP MODALEN SA AVD COOP MO;5,80266897;60,8143746;Mo 6;Modalen;5729;
KAPPAHL AS AVD 302 ALTA;23,27263058;69,96617217;Markedsgata 21-25;Alta;9510;AMFI Alta
EUROSKO SANDENS;7,99559436;58,14510579;Tollbodgata 14;Kristiansand S;4611;
FLYING TIGER COPENHAGEN HAUGESUND;5,33174967;59,39518083;Longhammarvegen 27;Haugesund;5536;Alti Amanda
AHLSELL NORGE AS AVD FANA;5,35447205;60,31155599;Apeltunvegen 2;Nesttun;5222;
SPORT 1 TROMSØ - JEKTA AS;18,92965151;69,67412429;Heilovegen 19;Tromsø;9015;
LINDEX AS AVD LODDEFJORD;5,23362819;60,36322021;Loddefjordveien 2;Loddefjord;5171;Vestkanten Storsenter
AHLSELL NORGE AS AVD GJØVIK;10,67173739;60,78429827;Kallerudlia 11;Gjøvik;2816;
HAGLØFS AS AVD VESTBY;10,74514472;59,60523191;Vestbyveien 15;Vestby;1543;Vestby Outlet
JOKER BERGSENG;16,50744958;68,81151272;Bergsengveien 27;Harstad;9403;
ROGNAN JERNVARE AS;15,39052506;67,10254642;Strandgata 13;Rognan;8250;
H & M HENNES & MAURITZ AS AVD 652 WEEKDAY TRONDHEIM;10,3971526;63,43259053;Nordre gate 16;Trondheim;7011;
LEVIS STORE KVADRAT AVD L12;5,72177217;58,87626535;Gamle Stokkavei 1;Sandnes;4313;Kvadrat
LINDEX AS AVD MOSS;10,70323988;59,4462476;Patterødveien 2;Moss;1599;Mosseporten Senter
MEKO NORWAY AS AVD SKI;10,85100192;59,71267089;Industriveien 3B;Ski;1424;
LINDBAK OFFICE AS AVD TROMSØ;18,91624703;69,66755788;Kvaløyvegen 311;Tromsø;9016;
MEKO NORWAY AS AVD DRAMMEN;10,12605188;59,75309854;Ingvald Ludvigsens gate 21;Drammen;3027;
KID INTERIØR AS 61 AVD KLOKKERGÅRDSVEIEN SARPSBORG;11,08290975;59,27403313;Klokkergårdveien 31;Sarpsborg;1711;AMFI Borg
NORSK BUTIKKDRIFT AS COOP PRIX ULLEVÅLSVEIEN AVD 4676;10,74104462;59,92182556;Pilestredet Park 12;Oslo;0176;
BAMBLE HAGESENTER AS;9,67946201;59,02810581;Europaveien 231;Stathelle;3962;
COOP PRIX AJER;11,05638806;60,80931288;Vognvegen 133;Hamar;2315;
PRIX HOVSHERAD AVD 172;6,497060978;58,52508113;Hovsheradveien 738;Hovsherad;4462;
BIK BOK ARKADEN STAVANGER AVD J13;5,73576952;58,97072712;Klubbgata 5;Stavanger;4013;Arkaden Stavanger
KAPPAHL AS AVD 354 TUNE;11,08768299;59,28784927;Lilletuneveien 2;Sarpsborg;1711;Stopp Kjøpesenter
JYSK ÅSSIDEN DRAMMEN AVD 575;10,12779491;59,75516665;Ingeniør Rybergs gate 110;Drammen;3027;
SANDNES UR OG SMYKKER AS;5,73965241;58,84822783;Gravarsveien 7;Sandnes;4306;
PRIX TREUNGEN AVD 004;8,523376453;59,01894732;Treungvegen 378-380;Treungen;3855;
FELLESKJØPET GAUSDAL 5920 BUTIKK;10,20699034;61,2269403;Bjørndalsvollen 5;Østre Gausdal;2651;
VIC LAGUNEN AVD 054;5,33115459;60,29686524;Lagunen Storsenter Laguneveien 1;Rådal;5239;
GUSTAVSBERG AS HOVEDKONTOR;10,94913376;59,94745843;Luhrtoppen 2;Lørenskog;1470;
LYRECO NORGE AS AVD SKI;10,83927862;59,71503363;Kjeppestadveien 2;Ski;1400;
BYGGMAX STAVANGER;5,72804585;58,94525867;Helgåsstubben 6;Stavanger;4016;
NILLE VESTKANTEN BERGEN;5,23362819;60,36322021;Loddefjordveien 2;Loddefjord;5171;Vestkanten Storsenter
MEKO NORWAY AS AVD JESSHEIM;11,18440428;60,14434084;Henrik Bulls veg 42;Jessheim;2069;
